,CDX NA IG,CDX NA HY,iTraxx EU Main,iTraxx EU Xover,iTraxx EU SenFin
16,2011-03-21,2011-03-28,2011-09-20,2011-09-20,2011-09-20
17,2011-09-20,2011-09-27,2012-03-20,2012-03-20,2012-03-20
18,2012-03-20,2012-03-27,2012-09-20,2012-09-20,2012-09-20
19,2012-09-20,2012-09-27,2013-03-20,2013-03-20,2013-03-20
20,2013-03-20,2013-03-27,2013-09-20,2013-09-20,2013-09-20
21,2013-09-20,2013-09-27,2014-03-20,2014-03-20,2014-03-20
22,2014-03-20,2014-03-27,2014-09-22,2014-09-22,2014-09-22
23,2014-09-22,2014-09-29,2015-03-20,2015-03-20,2015-03-20
24,2015-03-20,2015-03-27,2015-09-21,2015-09-21,2015-09-21
25,2015-09-21,2015-09-28,2016-03-21,2016-03-21,2016-03-21
26,2016-03-21,2016-03-28,2016-09-20,2016-09-20,2016-09-20
27,2016-09-20,2016-09-27,2017-03-20,2017-03-20,2017-03-20
28,2017-03-20,2017-03-27,2017-09-20,2017-09-20,2017-09-20
29,2017-09-20,2017-09-27,2018-03-20,2018-03-20,2018-03-20
30,2018-03-20,2018-03-27,2018-09-20,2018-09-20,2018-09-20
31,2018-09-20,2018-09-27,2019-03-20,2019-03-20,2019-03-20
32,2019-03-20,2019-03-27,2019-09-20,2019-09-20,2019-09-20
33,2019-09-20,2019-09-27,2020-03-20,2020-03-20,2020-03-20
34,2020-03-20,2020-03-27,2020-09-21,2020-09-21,2020-09-21
35,2020-09-21,2020-09-28,2021-03-22,2021-03-22,2021-03-22
36,2021-03-22,2021-03-29,,,
